draw_date,draw_no,n1,n2,n3,n4,n5,source
2008-06-26,97000128.0,1,9,17,22,24,pilio
2008-06-27,97000129.0,6,12,19,22,34,pilio
2008-06-30,97000130.0,5,20,31,36,37,pilio
2008-07-01,97000131.0,6,9,10,35,36,pilio
2008-07-02,97000132.0,10,14,27,33,39,pilio
2008-07-03,97000133.0,1,4,16,18,37,pilio
2008-07-04,97000134.0,20,25,31,33,39,pilio
2008-07-07,97000135.0,9,16,20,37,38,pilio
2008-07-08,97000136.0,3,5,8,20,23,pilio
2008-07-09,97000137.0,1,11,17,21,34,pilio
2008-07-10,97000138.0,13,16,22,26,34,pilio
2008-07-11,97000139.0,5,10,12,30,34,pilio
2008-07-14,97000140.0,2,9,32,33,37,pilio
2008-07-15,97000141.0,2,20,25,27,28,pilio
2008-07-16,97000142.0,3,8,16,17,30,pilio
2008-07-17,97000143.0,2,8,20,25,27,pilio
2008-07-18,97000144.0,9,13,19,23,39,pilio
2008-07-21,97000145.0,5,10,17,19,23,pilio
2008-07-22,97000146.0,5,6,19,21,28,pilio
2008-07-23,97000147.0,4,18,22,26,30,pilio
2008-07-24,97000148.0,1,8,11,13,38,pilio
2008-07-25,97000149.0,8,17,26,28,32,pilio
2008-07-28,97000150.0,15,22,24,26,36,pilio
2008-07-29,97000151.0,6,12,13,32,38,pilio
2008-07-30,97000152.0,6,10,17,28,34,pilio
2008-07-31,97000153.0,3,20,24,31,39,pilio
2008-08-01,97000154.0,1,10,23,29,36,pilio
2008-08-04,97000155.0,9,11,14,17,25,pilio
2008-08-05,97000156.0,3,10,13,20,33,pilio
2008-08-06,97000157.0,22,27,30,33,38,pilio
2008-08-07,97000158.0,8,11,15,25,26,pilio
2008-08-08,97000159.0,1,6,14,17,31,pilio
2008-08-11,97000160.0,4,6,10,14,36,pilio
2008-08-12,97000161.0,3,5,9,28,33,pilio
2008-08-13,97000162.0,3,8,29,32,34,pilio
2008-08-14,97000163.0,18,22,25,28,39,pilio
2008-08-15,97000164.0,4,7,23,34,38,pilio
2008-08-18,97000165.0,2,4,23,27,32,pilio
2008-08-19,97000166.0,8,14,20,31,37,pilio
2008-08-20,97000167.0,17,30,31,35,37,pilio
2008-08-21,97000168.0,12,13,23,28,37,pilio
2008-08-22,97000169.0,1,3,9,10,20,pilio
2008-08-25,97000170.0,11,20,21,24,35,pilio
2008-08-26,97000171.0,4,6,11,28,30,pilio
2008-08-27,97000172.0,1,2,13,18,38,pilio
2008-08-28,97000173.0,1,16,31,33,37,pilio
2008-08-29,97000174.0,11,14,21,28,38,pilio
2008-09-01,97000175.0,15,26,27,28,37,pilio
2008-09-02,97000176.0,4,6,20,21,35,pilio
2008-09-03,97000177.0,1,5,28,32,33,pilio
2008-09-04,97000178.0,3,13,30,37,39,pilio
2008-09-05,97000179.0,4,15,20,31,34,pilio
2008-09-08,97000180.0,1,10,18,31,37,pilio
2008-09-09,97000181.0,8,24,28,38,39,pilio
2008-09-10,97000182.0,2,16,28,32,33,pilio
2008-09-11,97000183.0,10,12,29,34,35,pilio
2008-09-12,97000184.0,3,6,10,12,26,pilio
2008-09-15,97000185.0,2,11,16,26,37,pilio
2008-09-16,97000186.0,4,10,14,17,25,pilio
2008-09-17,97000187.0,8,16,33,36,37,pilio
2008-09-18,97000188.0,15,25,27,34,35,pilio
2008-09-19,97000189.0,2,13,17,23,27,pilio
2008-09-22,97000190.0,10,15,16,25,33,pilio
2008-09-23,97000191.0,9,24,25,30,34,pilio
2008-09-24,97000192.0,6,18,19,27,30,pilio
2008-09-25,97000193.0,1,13,16,23,32,pilio
2008-09-26,97000194.0,5,12,27,34,39,pilio
2008-09-29,97000195.0,4,13,19,22,37,pilio
2008-09-30,97000196.0,2,3,15,19,32,pilio
